%** ============================================================================= **
%**                     BERING STRAIT MONTHLY MEANS                               **
%** ============================================================================= **
%** Processed Jan2021 from transalla3 and v4 etc  **
%**                                               **
%**   Contact: Rebecca Woodgate (woodgate@apl.washington.edu) (206)-221-3268
%**   Background: http://psc.apl.washington.edu/BeringStrait.html
%**                                                            
%** If you use these data, especially for publications, please:
%**    a) Email me with the publication reference
%**    b) Cite the data, viz:
%**                                                            
%** CITATIONS:  
%** 1) Woodgate R.A., K.Stafford, F.Prahl, 2015, 
%** A Synthesis of Year-round Interdisciplinary Mooring Measurements  
%** in the Bering Strait (1990-2014) and the RUSALCA years (2004-2011), 
%** Oceanography 28(3):46-67, doi:10.5670/oceanog.2015.57 
%** 2) Woodgate, R.A., 2018                                 
%** Increases in the Pacific inflow to the Arctic from 1990 to 2015, and 
%** insights into seasonal trends and driving mechanisms from year-round 
%** Bering Strait mooring data
%** Progress in Oceanography
%** 3) Woodgate, R.A., and C.Peralta-Ferriz, 2021 submitted
%** Warming and Freshening of the Pacific Inflow to the Arctic from 1990-2019
%** implying dramatic shoaling in Pacific Winter Water ventilation of the
%** Arctic water column, submitted to Geophysical Research Letters
%** 4) Woodgate, R.A.,2020
%** Freshening of the Pacific inflow to the Arctic, ASOF conference      
%** 28th Sept 2020, https://asof.awi.de/outputs/island-2020 
%**                                                            
%** See those references for methods and data isses                      
%**                                                            
%** ============================================================================= **
%** Mooring = number signifies A1, A2, A3, A4                            
%** Mean = monthly mean for given year and month (uncorrected data)      
%** Error = error in that mean      
%** MeanCorr = if present, monthly mean using corrected data 
%**   (vel/trans corrected for instrument depths and dropouts;
%**   salinity corrected for biofouling - see Woodgate 2018
%** CorrErr = error in that mean    
%** NaN = insufficient data to compute annual mean                       
%** ============================================================================= **
%** ============================================================================= **
%** =========== Vvel (cm/s) from A3 ============================================= ** 
%** ============(does not include corrections for ACC or stratification) ======== ** 
%** ============================================================================= ** 
%
% Mooring  Year    Month   Mean  Error        Mean  Error
     3     1990      1     NaN     NaN         NaN     NaN
     3     1990      2     NaN     NaN         NaN     NaN
     3     1990      3     NaN     NaN         NaN     NaN
     3     1990      4     NaN     NaN         NaN     NaN
     3     1990      5     NaN     NaN         NaN     NaN
     3     1990      6     NaN     NaN         NaN     NaN
     3     1990      7     NaN     NaN         NaN     NaN
     3     1990      8     NaN     NaN         NaN     NaN
     3     1990      9    13.0     4.5        14.0     4.9
     3     1990     10    13.5     6.5        14.6     7.0
     3     1990     11    23.7    11.1        25.7    12.0
     3     1990     12    21.2     7.4        23.0     8.1
     3     1991      1    11.1     9.9        12.0    10.7
     3     1991      2     2.9     8.9         3.1     9.7
     3     1991      3    12.7     5.2        13.8     5.6
     3     1991      4    19.1     3.4        20.7     3.7
     3     1991      5    26.0     7.0        28.2     7.5
     3     1991      6    37.1     3.4        40.1     3.6
     3     1991      7    32.1     2.9        34.8     3.2
     3     1991      8    33.0     4.1        35.7     4.4
     3     1991      9    31.1     2.8        33.6     3.1
     3     1991     10    22.8     4.3        24.5     4.6
     3     1991     11    22.6     4.8        24.3     5.2
     3     1991     12    -1.8     9.0        -2.0     9.7
     3     1992      1    18.2     3.1        19.5     3.4
     3     1992      2    20.8     9.1        22.4     9.8
     3     1992      3    16.0     3.2        17.3     3.4
     3     1992      4    22.4     5.0        24.1     5.4
     3     1992      5    24.6     3.0        26.4     3.3
     3     1992      6    26.2     3.0        28.2     3.2
     3     1992      7    27.7     5.2        29.8     5.5
     3     1992      8    15.2     4.2        16.4     4.5
     3     1992      9    -0.6     3.3        -0.6     3.5
     3     1992     10     NaN     NaN         NaN     NaN
     3     1992     11     NaN     NaN         NaN     NaN
     3     1992     12     NaN     NaN         NaN     NaN
     3     1993      1     NaN     NaN         NaN     NaN
     3     1993      2     NaN     NaN         NaN     NaN
     3     1993      3     NaN     NaN         NaN     NaN
     3     1993      4     NaN     NaN         NaN     NaN
     3     1993      5     NaN     NaN         NaN     NaN
     3     1993      6     NaN     NaN         NaN     NaN
     3     1993      7     NaN     NaN         NaN     NaN
     3     1993      8     NaN     NaN         NaN     NaN
     3     1993      9     NaN     NaN         NaN     NaN
     3     1993     10     NaN     NaN         NaN     NaN
     3     1993     11     NaN     NaN         NaN     NaN
     3     1993     12     NaN     NaN         NaN     NaN
